liste Clients Mag
Code Libre;Nom;CP Fact;Ville Fact;Téléphone Fact;Commentaire
C00000001881;ASSOCIATION LES PERPALOUIE;43200;YSSINGEAUX;;
C00000003204;Association Les Petits Baraillon;69160;TASSIN LA DEMI LUNE;;
C00000002062;ASSOCIATION LES PRODUCTIONS NID DE COUCOU;22150;HENON;782598375;
C00000003264;Association les rives d aurec;43110;AUREC SUR LOIRE ;;
C00000003117;Association LES RONDINS DE BOIS;43400;LECHAMBON SUR LIGNON;;
C00000003209;Association les Semons Sauvages;69420;TUPIN ET SEMONS;;
C00000002402;ASSOCIATION LES TIT NASSELS;42300;ROANNE;;
C00000001992;Association les tit' nassels;42300;ROANNE;;
C00000001957;Association LES VIEILLES PIERRES;42130;MARCILLY LE CHATEL;;
C00000001953;ASSOCIATION LES YEUX DU COEUR;42560;BOISSET-SAINT-PRIEST;;
C0188;Association LEZ'ARTS AGITÉS;43120;Monistrol sur loire;677374397;
C00000001547;Association Loire En Scene;42100;SAINT-ETIENNE;;
C00000002303;ASSOCIATION LOVE LES OLIBRIUS;42000;SAINT-ETIENNE;;
C00000003308;Association MALAKART;42153;RIORGES;;
C00000001914;Association MARCEL.MARCEL;69007;LYON;;
C00000003097;Association MDL;42270;SAINT-PRIEST EN JAREZ;;
C00000002617;Association MEME DIN LES ORTIAS;43140;LA SEAUVE SUR SEMENE;;
C00000002132;ASSOCIATION MIRONDELA DELS ART;34120;PEZENAS;;
C00000002089;Association MIXLAB;38000;GRENOBLE;;
C00000003207;Association MMS;34130;MAUGUIO;;
C00000002829;Association MONT BEL AIR;38460;SAINT HILAIRE DE BRENS;;
C00000001816;Association MONT'EN SCENE;69850;SAINT MARTIN EN HAUT;;
C00000001699;ASSOCIATION MUSICAL EN VENDEE;85130;LA VERRIE;;
C00000002230;Association My Alien Production / Antenne AGATA;42100;SAINT ETIENNE;;
C00000002467;Association NOUS ET VOUS;42170;SAINT JUST SAINT RAMBERT;;
C00000002297;ASSOCIATION NUIT DE REVES;43000;ROSIERES;;
C00000003259;ASSOCIATION NUMIDYA;42100;SAINT ETIENNE;662960262;
C00000002445;Association PAVILLON 36;7110;VINEZAC;469222981;
C00000002354;ASSOCIATION PEPPER FLYM;43150;LE MONASTIER SUR GAZEILLE;;
C00000001671;ASSOCIATION PETIT TRAVAUX;42100;SAINT-ETIENNE;;
C00000002636;Association Phénoméne (PHNMN);42000;SAINT ETIENNE;;
C00000001810;Association PLAISIR EN BRIONNAIS;71340;FLEURY LA MONTAGNE;;
C00000002978;Association POJO ROJO;34090;MONTPELLIER;;
C00000002862;Association POLE EN SCENE Espace ALBERT CAMUS;69500;BRON;;
C00000002695;Association POLYPH PARTOUT ;42000;SAINT ETIENNE;;
C00000002752;Association POP 119;42400;SAINT CHAMOND;;
C00000002697;ASSOCIATION PORHTFEUILLE;69280;MARCY L ETOILE;;
C00000002215;Association POTO FEU;42740;SAINT PAUL EN JAREZ;;
C00000003038;Association PRINTEMPS MUSICAL EN PAYS ROANNAIS;42370;SAINT ANDRE D APCHON;;
C00000002748;Association PRUNE85;69510;RONTALON;661823283;
C00000003140;Association REGARDS ET MOVEMENTS;42000;SAINT ETIENNE;427642381;
C00000001831;ASSOCIATION REGARDS SUR L ART;42300;MABLY;;
C00000002812;Association Rendez-Vousen Pays Nétrablais;42440;NOIRETABLE;477971998;
C00000001291;Association RETOUR A L ESSENTIEL;42100;SAINT-ETIENNE;;
C00000002293;Association RETOURNADE;43190;TENCE;;
C00000003088;Association REVE DE FOIN;43800;ROSIERES;;
C00000001350;ASSOCIATION ROCK SOUS LES ÉTOILES;69590;SAINT SYMPHORIEN SUR COISE;;
C0902;association ROCKNOFOBIE;42380;SAINT BONNET LE CHATEAU;;
C0054;Association ROCKOSHA;42490;FRAISSES;;
C00000002914;ASSOCIATION ROI DE L OISEAU;43000;LE PUY EN VELAY;;
C00000002492;Association ROLLENSCENE;48250;LA BASTIDE PUYLAURENT;;
C00000002640;Association SAINT- ETIENNE NATATION;42000;SAINT ETIENNE;;
C00000002910;Association SAINTE STREET FOOD FESTIVAL;421000;SAINT-ETIENNE;;
C00000002206;ASSOCIATION SANDA PRO FIGHT;69520;GRIGNY;;
C00000002386;Association SENECON;42170;SAINT JUST SAINT RAMBERT;;
C00000001265;Association SENTINEL;42490;FRAISSES;;
C00000002224;ASSOCIATION SEVEN;43150;LAUSSONNE;;
C0909;Association SIX;42600;TRELINS;;
C00000001591;Association SOLIDARITÉ FOREZ PALESTINE;42800;MONTBRISON;;
C00000001784;Association SON/LUMIERE/THEATRE;43700;SAINT GERMAIN LAPRADE;;
C00000002403;Association SOUTHLANDERS;30900;NIMES;;
C00000001354;association sportive;;;;
C1014;ASSOCIATION SPORTIVE DE VILLERS;42460;VILLERS;;
C00000003055;Association Sportive Et Culturelle de RESSINS;42720;NANTAX;;
C00000003324;Association ST GENEST EN FETE;42660;SAINT GENEST MALIFAUX;;
C00000002288;Association SYNDROME ODYSSEE;42100;SAINT-ETIENNE;;
C00000000983;Association System D;42100;SAINT-ETIENNE;;
C00000002273;ASSOCIATION SYSTEME D AND CO;42600;ESSERTINES EN CHATELNEUF;;
C00000001989;ASSOCIATION TARTINE ;73260;AYGUEBLANCHE ;616845887;Marie-Hélène Chabert
C00000002700;ASSOCIATION THE FOXBOX;43190;TENCE;;
C00000003001;Association TIME TO DANCE;42160;ANDREZIEUX- BOUTHEON;;
C00000003094;Association TONNE;26400;GRANE;;
C00000002845;Association TOTORS ET SES AMIS;6100;NICE;;
C00000001809;ASSOCIATION TRANSVERSE;42501;LE CHAMBON FEUGEROLLES;;
C00000001198;Association TROIX PAS POUR SELIM;42500;LE CHAMBON FEUGEROLLES;04 77 89 26032;
C1015;association Typographie et poésie;43400;LE CHAMBON SUR LIGNON;;
C00000001484;association united megaphone;42100;SAINT ETIENNE;750604117;
C00000001337;Association Urbano Dance;42800;SAINT MARTIN LA PLAINE;;
C00000001984;ASSOCIATION URSA MINOR;42100;SAINT-ETIENNE;;
C00000002379;Association VAINCRE LE CANCER 42;42000;SAINT ETIENNE;;
C00000002869;Association VAINCRE LE CANCER 42;42000;SAINT ETIENNE;;
C00000001205;Association VALHALLA-ETHNIES;;ROCHE LA MOLIERE;;
C00000003037;Association Velay Synergie;43220;DUNIERES;;
C00000002481;Association VENT DE BIO;42410;PELUSSIN;;
C00000002499;ASSOCIATION VIBRATIONS;69380;CHATILLON;;
C00000001442;ASSOCIATION VIOLON BLEU;42350;VEAUCHETTE;;
C00000002453;ASSOCIATION VITAMINES;42170;ST JUST ST RAMBERT;;
C00000002196;ASSOCIATION VIVA BARRIO POPULO;42000;SAINT-ETIENNE;;
C00000002126;Association VMC;59420;MOUVAUX;;
C00000002284;ASSOCIATION WIMENON;43000;LE PUY EN VELAY;;
C00000003128;Association WOODSTOWER;69007;LYON;;
C00000002184;ASSOCIATION ZIKADONF;43700;SAINT GERMAIN LAPRADE;;
C1021;Associations les DJEANT;42650;SAINT-JEAN BONNEFOND;;
C0812;Associations les Mains Libres;43000;LE PUY EN VELAY;620466483;
C00000001257;AssociationVP&M;63200;LE CHEIX-SUR-MORGE;;
C0211;ASSURANCE MUTUELLE DES MOTARDS;34924;MONTPELLIER CEDEX ;467047173;
C0212;ASTERIOS SPECTACLES;75011;PARIS ;;
C00000003152;ASTHARTE&COMPAGNIE;75010;PARIS;144919164;
C00000002805;ASTREE SOFTWARE;42650;SAINT JEAN BONNEFONDS;477890058;
C00000001730;ASVEL BASKET;69100;VILLEURBANNE;;
C00000001184;ASVF;42100;ST ETIENNE;;
C00000003166;ATC AIR TOILES CONCEPT;;;;
C00000002608;ATELIER 1:1;93300;AUBERVILLIERS;;
C00000002708;ATELIER 44;38400;ST MARTIN D'HERES;;
C00000003201;ATELIER DAUPHINOIS PARQUETS;26210;EPINOUZE;;
C00000002680;ATELIER DE DANSE;42100;MONTBRISON;;
C00000002780;ATELIER L DANSE;42600;MONTBRISON;477584593;
C0590;ATELIER MUSÉE DU CHAPEAU;42140;CHAZELLES/LYON;477942329;
C00000002093;ATELIERS DES ARTS;43000;LE PUY EN VELAY;;
C00000001058;ATLANTIC MEDIA;85341;LES SABLES D OLONNECEDEX;;
C0213;ATONIC;38500;ST CASSIEN;476673296;
C00000001999;ATOUT PROD EVENT;;;;
C00000001650;ATOUT SCENE PRODUCTIONS;83110;SANARY SUR MER;;
C00000002625;ATPC maison solidaire;42100;SAINT ETIENNE;;
C0140;AU DELA DES MURS;42100;SAINT ETIENNE;615732845;
C00000002212;AU PALAIS D OR;42700;FIRMINY;;
C0214;AUBERGE D'ESSALOIS;42170;CHAMBLES;;
C00000001321;AUBOURG Ludivine;92110;CLICHY;;
C00000001396;AUCANTE Céline;30660;GALLARGUES LE MTUEUX;;
C0215;AUCHAN VILLARS;42390;VILLARS;;
C0960;AUDACIEUSE DU MAS;42700;FIRMINY;;
C0216;AUDIO FRANCE;42100;ST ETIENNE;477915335;06 10 89 10 79 ARNAUD 06 64 53 46 44 WILFRID
C00000001351;AUDIO SOFT;63270;SAINT MAURICE ES ALLIER;473691477;
C0217;AUDIO TECHNIQUE;42152;L'HORME;477814959;
C0962;AUDIO-DIFFUSION;43000;LE PUY EN VELAY;;
C0218;AUDIOVISION;42240;UNIEUX ;477753363;
C00000002925;Audouard Sébastien;42140;CHAZELLE SUR LYON;;
C00000002497;AUDREY GUILLAUME PRODUCTION ;;;;
C0824;AURILLAC DÉVELOPPEMENT;15000;AURILLAC;;
C0504;AUTO ECOLE LA LIBERATION;42100;SAINT ETIENNE;;
C00000002880;AUTOTHIVOLLE;69400;VILLEFRANCHE-SUR-SAONE;;
C00000002105;AUUNA;42100;SAINT ETIENNE;;
C0219;AUVI PLUS;69530;BRIGNAIS;472316767;
C00000002782;AUX 6 LEVAINS;42560;CHAPELLES SUR LAVIEU;;
C0991;AVAKIAN Nathalie;69003;LYON;;
C0220;AVATARIA;42006;ST ETIENNE;688130505;
C00000001072;AVENIR MUSICAL.;42700;FIRMINY;;
C00000002736;AVEO BOUTIQUE;42100;SAINT ETIENNE;477060808;
C00000003004;AVROUCHE PROD;6160;ANTIBES;;
C00000001183;AXENTE;91160;LONGJUMEAU;01 69 10 50 70;
C00000002656;AYOM;94205;IVRY SUR SEINE;;
C00000001193;AZ UNIVERSAL MUSIC FRANCE;75235;PARIS CEDEX 05;;
C00000002341;AZIMUT CONSULTANT;42400;SAINT CHAMOND;;
C1005;AZNAR Nicolas;;;;
C00000002875;BAAM PRODUCTIONS;69007;LYON;;
C00000002414;BAB RECORDASSOCIATION ;42100;SAINT-ETIENNE;;
C00000003092;BAILLY Nicolas;;;;
C00000003314;BALDO Anim;42330;SAINT GALMIER;;
C00000002189;BALLESTER Tony;11380;LA TOURETTE CABARDES;;
C0224;BALLET CONTEMPORAIN;42000;ST ETIENNE;477327420;
C00000002142;BALLY Etienne;;;;
C0226;BANCO BILBAO VIZCAYO ARGENTARIA;48005;BILBAO;;
C00000003294;BANQUE PALATINE;94120;FONTENAY SOUS BOIS;143947442;
C0248;BANQUE POPULAIRE LOIRE LYONNAIS;69003;LYON;;
C0229;BAR LE CENTRAL;42570;ST HEAND;;
C0230;BAR LE FORUM;42700;FIRMINY;;
C0227;BARATTE FREDERIC;38670;CHASSE SUR RHONE;;
C0228;BARBAS Caroline;42130;ST FIXTE;;
C00000003139;BARDEY Marie-Céline;42660;PLANFOY;;
C00000001289;BARGE;3150;CRECHY;04 73 83 79 98;
C0231;BARRERE I.;42400;ST CHAMOND ;607098178;
C00000002472;BARRESTAURANT LE PASSING;42000;SAINT ETIENNE;;
C00000001125;BARROU;42;ROCHE LA MOLIERE;;
C00000003064;BARRY CLUB;7534;TOURNAI ;;
C00000001395;BARUCHEL David;75012;PARIS;;
C0202;BASILICA PRODUCTIONS;42100;SAINT ETIENNE;477371060;
C0830;BASKET CLUB;42500;LE CHAMBON FEUGEROLLES;;
C0232;BASTIDE ERIC;42100;SAINT-ETIENNE;477255782;
C00000002927;BATISCENE;42000;SAINT ETIENNE;;
C00000003058;BAUZA Germain;;;;
C00000002154;BAYET BENOIT;42600;MONTBRISON;;
C00000003168;BB PRODUCTION;63100;CLERMONT FERRAND;473146545;
C0167;BD ART;42800;RIVE DE GIER;477756621;
C00000001023;BDA EMSE;42000;SAINT-ETIENNE;;
C00000001970;BDC79;42000;SAINT ETIENNE;612323132;ENVOI FACTURE PAR MAIL
C0233;BDE de l'Ecole des Mines;42023;SAINT-ETIENNE CEDEX2;477415601;
C00000003181;BDE DE L'INSTITUT D'ETUDES POLITIQUES DE LYON;69007;LYON;;
C0234;BDE ENISE;42100;Saint Etienne;662677326;
C0113;BDE ESC ;42100;SAINT-ETIENNE;;
C00000002766;BDE STAPS;42100;SAINT ETIENNE;477485001;
C00000001031;BDS;69009;LYON;;
C00000002115;BEAL JEAN CHRISTOPHE;42100;SAINT- ETIENNE;;
C00000001214;BEAUGER FRANCK;;;;
C00000002110;BEAULIEU SPECTACLE VIVANT;42100;SAINT-ETIENNE;477463166;
C0235;BEGONIN Amélie ;42600;MONTBRISON ;477969797;
C00000002548;BELLA DANCE STUDIO;42400;SAINT-CHAMOND;477313160;
C0921;BENECY ETS;42110;FEURS;477942023;
C00000001279;BENJAMIN INTERNATIONAL PRODUCTION;84270;VEDENE;;
C00000002920;BERTHELIER Yann;43000;LE PUY EN VELAY;;
C00000003148;BEST Florent;42290;SORBIERS;;
C00000003292;BIA PRODUCTION;7100;LA LOUVIERE (BE);497793809;
C00000002662;BIALECKI YANN;75008;PARIS;;
C00000001304;BIBALBOU;92380;GARCHES;;
C0239;BICHE DE VERRE;42000;ST ETIENNE ;;
C0240;BIERI NICOLAS;69420;CONDRIEU;474566702;
C00000002783;BIG EYE PROD;42000;SAINT ETIENNE;;
C00000003127;BIGAUD Gordon;;;;
C00000001840;BILLARD CLUB DE MONTBRISON;42600;MONTBRISON;;
C00000001971;BILOWUS CULTURAL EVENTS;75018;PARIS;;
C00000001141;BILTUBE;43140;SAINT DIDIER EN VELAY;;
C00000002298;BIZZ'ART NOMADE;26450;CHAROLS;475465420;
C00000003253;BLAAK PRODUCTION;42000;SAINT ETIENNE;;
C00000003108;BLEU CITRON DEVELOPPEMENT;31500;TOULOUSE;;
C0241;BLUE LINE;46600;MARTEL;565271515;
C0242;BLUES SQUARE France;13120;GARDANNE;442657300;
C00000003113;BMW Motorrad HELICE Saint-Etienne;42100;SAINT-ETIENNE;;
C00000000961;BNP PARIBAS LEASE GROUP;;;;
C00000003049;BOBET Vladimir;75002;PARIS;;
C00000001387;BONHOMME Arnaud;69420;TREVES;;
C00000002310;BONNAIRE ELECTRICITE;42000;ST ETIENNE;477418972;
C00000001719;BONNAVION INDUSTRIES;42700;FIRMINY;04 77 56 02 69;
C0842;BONNEVIE AUTOMOBILES;42100;SAINT_ETIENNE;477327475;
C00000003154;BORNE Rémi;;;;
C00000001661;BOSG LAVAGE;42700;FIRMINY;;
C00000002879;BOTTO Cécile;42000;SAINT-ETIENNE;;
C00000003134;BOUABDELLAH Farid;42350;LA TALAUDIERE;;
C00000003258;Bouchery Léa;42000;ST-ETIENNE;;
C00000001573;BOURGEOIS jean;42160;BONSON;;
C00000002830;BOUTIQUE SANDRA;42800;RIVE DE GIER;;
C0245;BOUVAT PATRICK-caidale decoration;26300;CHATEAUNEUF ISERE;;
C0246;BOUVET Sébastien;42290;SORBIERS;;
C00000001607;BOXING CLUB DE RIVE DE GIER;42800;RIVE DE GIER;;
C00000001042;BOXING CLUB SAINT CHAMOND;42400;SAINT CHAMOND;;
C0247;BP CLIENT;95866;CERGY PONTOISE  CEDEX;;
C00000003215;BPCE LEASE;94222;CHARENTON-LE-PONT;;
C00000002161;BPE GROUPE LA BANQUE POSTALE;75002;PARIS;144883041;
C00000002082;BPE SARL;42500;LECHAMBON FEUGEROLLES;;
C00000003051;BRAINCUBE;63500;ISSOIRE;473717044;
C00000002730;BRASSERIE DU STADE;42000;SAINT ETIENNE;651531325;
C0250;BRIAULT CELLIA;42100;Saint Etienne;;
C00000001250;BRION NICOLAS;69006;LYON;;
C00000002270;BROTHIER Daniel;42000;SAIN-ETEINNE;;
C00000002422;BRUNO Pierre;42100;ST ETIENNE;;
C00000003169;BT COLLECTIF;4240;SAINT-PAUL EN CORNILLON;;
C00000002663;BUL MUSIC;;;;
C00000001068;BURDIN Magali;;;;
C00000001988;BWD12;42230;SAINT-VICTOR SUR LOIRE;477903890;
C00000003217;C JAY ART COMPAGNY;43120;MONISTROL SUR LOIRE ;;
C00000003142;C-JAY ART Compagnie;43120;MONISTROL SUR LOIRE ;;
C00000001427;C.A.S ;42000;SAINT-ETIENNE;;
C0943;C.C. 3 VALLÉES;4990;DIGNES LES BAINS;;
C00000001422;C.C.A.S Rive de Gier;42800;RIVE DE GIER;;
C00000002518;C.C.L.R basket;42800;RIVE DE GIER;;
C0279;C.D.F.F.M.E.42;42100;Saint Etienne;607802015;
C00000001218;C.E.F;42100;SAINT-ETIENNE;;
C00000001155;C.E.PSA PEUGEOT CITROEN;3290;DOMPIERRE/DESBRE;04 70 48 62 00;
C0293;C.G ORGANISATION;42210;BELLEGARDE EN FOREZ;477944162;
C0294;C.G.P.M.E.;42000;SAINT ETIENNE;477320201;
C0342;C.O.P.L.E.R;42470;St Symphorien de Laye;477627764;
C00000001128;C.O.S.E;42007;SAINT-ETIENNE CEDEX 1;04 77 91 08 93;
C0289;C'EST A DIRE EVENEMENTS;42600;CHALAIN D'UZORE;;
C0964;C'KELPROD;42000;SAINT-ETIENNE;477200487;
C00000001825;CAB'S DIFFUSION;43150;LAUSSONNE;04 71 05 08 78;
C00000002432;CABESTAN - NTECH;38100;GRENOBLE;;
C0251;CAFE CONCERT LE BOUI BOUI ;69005;LYON ;478374030;
C00000001371;CAFV;42700;FIRMINY;477561231;
C00000002461;CAGIBIG;69100;VILLEURBANNE;652303105;
C00000001862;CAISSE D EPARGNE Groupe Loire Sud;42400;ST CHAMOND;04 82 28 11 38;
C00000001890;CAISSE D'EPARGNE ;42012;SAINT-ETIENNE CEDEX 2;;
C00000002380;CALCAGNI METALLERIE;42530;SAINT GENEST LERPT;477434427;
C0252;CALMARD XAVIER;42100;Saint Etienne;685496127;
C00000001574;CAMARO PRODUCTIONS;69100;VILLEURBANNE;;
C00000001251;CAMP DE BASE PRODUCTION;69003;LYON;04 72 60 95 20;
C00000001690;CAMPINGS CARS NOTIN;42110;FEURS;;
C00000002370;CAMUD PROD;83440;SEILLANS;;
C00000003067;CANAL JAZZ;42300;ROANNE;;
C0244;CANAL+ (direction des sports);75711;PARIS CEDEX 15;144251974;
C00000003146;CANDELA DANCE STUDIO;42152;L'HORME;;
C00000001248;CANTUS SYLVA;43140;LA SEAUVE SUR SEMENE;;
C0627;CAP DE PELISSANNE;13330;PELISSANNE;689891126;
C00000001207;CAPEA;42000;SAINT-ETIENNE;04 77 92 05 34;
C00000002376;CAPITALE PRODUCTION;92100;BOULOGNE-BILLANCOURT;;
C0254;CARAÏBE;42100;Saint Etienne;;
C00000003240;CARAMBA;75011;PARIS;142181717;
C00000003261;CARAMEL PROD;42000;SAINT ETIENNE;;
C00000001233;CARAVELLE-PROD;69001;LYON;04 72 10 99 50;
C00000001401;CAROTTE  PRODUCTION;42000;SAINT ETIENNE;;ENVOI FACTURES PAR MAIL
C0255;CARPE DIEM MOTO CLUB;71850;Charney lès Mâcon;385341809;
C00000002014;CARREFOUR DU SON;42650;SAINT JEAN BONNEFOND;477944484;
C00000003213;CARSON PROD;92100;BOULOGNE BILLANCOURT;;
C00000002507;CASDEN;42100;SAINT-ETIENNE;;
C00000001720;CASINO 2000;L5618;MONDORF LES BAINS;;
C00000002227;CASINO BARRIERE D ENGHIEN;65880;ENGHIEN LES BAINS;;
C0269;Casino de Berck;62600;Berck sur mer;321848758;
C0264;Casino de Cazobon Barbotan;32150;BARBOTAN LES THERMES;562083300;
C0266;Casino de Contrexeville;88140;CONTREXEVILLE;329080114;
C0267;Casino de coutainville;50230;Agon Coutainville;233470688;
C0271;Casino de Evaux les Bains;23110;Evaux les Bains;555656733;
C0265;Casino de la Roche Posay;86270;LA ROCHE POSAY;549862010;
C00000001668;CASINO DE NERIS LES BAINS;3310;NERIS-LES-BAINS;04 70 03 15 09;
C0268;Casino de Pleneuf Val Saint André;22370;Pleneuf Val Saint André;296728506;
C0270;Casino de Royat;63130;Royat;473295252;
C0260;CASINO DE SETE;34200;SETE;467466565;
C0272;CASINO DE SETE;34200;SETE;467466565;
C0261;CASINO DES QUATRE CHEMINS;3280;VICHY;470970740;
C00000001610;CASINO FLAMINGO Groupe TRANCHANT;30240;LE GRAU DU ROI;04 66 53 40 95;
C0257;CASINO LE LION BLANC-ST GALMIER;42330;ST GALMIER ;477540199;
C0778;CASINO LE LYDIA;66420;LE BARCARES;458860713;
C0258;CASINO LE PHARAON-LYON;69006;LYON ;478175359;
C00000001380;CASTAGNA Emmanuelle;42800;GENILAC;;
C00000001290;CASTELLANO FRANCK;;;;
C0274;CAT ARC EN CIEL;10600;LA CHAPELLE  ST LUC ;;
C0275;CBC;42100;ST ETIENNE;;
C00000001636;CBM EVENEMENTS;63000;CLERMONT FERRAND;;
C0276;CCAS ;93104;MONTREUIL CEDEX ;;
C00000002197;CCAS ANGOULEME;16000;ANGOULEME;;
C00000002687;CCAS DE RIVE DE GIER;42800;RIVE DE GIER;477834209;DEPOSER SUR CHORUS
C0277;CCAS ECHAIROLLES;38130;ECHAIROLLES;476698000;
C1064;CCAS-FOYER RESIDENCE QUIETUDE ;42500;LE CHAMBON FEUGEROLLES;04 77 10 01 35;
C00000002028;CCI HAUTE LOIRE;43004;LE PUY EN VELAY CEDEX;;
C0278;CCLS;42800;RIVE DE GIER;;
C00000001185;CD43 FNCTA;43590;BEAUZAC;471665995;
C00000002005;CDC ST MARTIN DE CRAU;13310;SAINT MARTIN DE CRAU;;
C00000002355;CDMDT;43000;LE PUY EN VELAY;;
C00000001445;CE ETS PLATTARD;69400;VILLEFRANCHE SUR SOANE;;
C00000002551;CEA GRENOBLE;38054;GRENOBLE CEDEX 09;330438789672;
C00000001961;CEC Sonorisation;69400;VILLEFRANCHE SUR SAONE;04 74 03 69 33;
C0094;CEDO;42140;GRAMMOND;684955258;
C00000001055;CEGELEC ROANNE;42300;ROANNE;;
C00000001638;CELT VOYAGES;75016;PARIS;01 53 92 55 55;
C00000001726;CEMAC Assocation;42210;MONTROND LES BAINS;04 77 54 51 21;
C0114;CENT POUR CENT SAINT-ETIENNE;42000;SAINT ETIENNE;;
C00000001939;CENTER STAGE PRODUCTION INC;;FT LAUDERMALE;;
C00000001614;CENTILENE;30340;ROUSSON;;
C00000001651;CENTRE ANIMATION MUSICALE;42680;ST MARCELLIN EN FOREZ;;
C0892;CENTRE CULTUREL & DE CONGRES ANDRE REYNAUD;43750;VALS PRES LE PUY;04 71 04 07 28;
C0281;CENTRE CULTUREL DE LA RICAMARIE;42150;L a Ricamarie;477803059;INDEPENDANT DE LA MAIRE<>PAS DE PLATEFORME CHORUS
C0938;CENTRE CULTUREL DE VALS;43750;VALS PRES LE PUY;;
C00000002406;CENTRE CULTUREL DU CHATEAU DE GOUTELAS;42130;MARCOUX;477973542;
C0280;CENTRE CULTUREL JEAN CARMET;69440;MORNANT;478449795;
C00000002327;Centre culturel l Embarcadere;43800;COREY SUR ARZON;;
C0464;CENTRE CULTUREL LE GRAND ECRIN;45330;MALESHERBES;238348191;
C00000001617;Centre Culturel Maore Stephanois;42100;SAINT-ETIENNE;09 52 38 92 16;
C0669;CENTRE CULTUREL SALLE LOUIS DAQUIN;42150;LA RICAMARIE;477803059;04 77 80 37 15/06 12 49 83 12
C0091;CENTRE D'ANIMATION DE FIRMINY VERT ;42700;FIRMINY ;477561231;
C00000002248;CENTRE DANSE PIERRE CARDINAL;43000;LE PUY EN VELAY;;
C00000001805;CENTRE DE DANSE DE FIRMINY;42700;FIRMINY;04 77 61 86 99;
C00000001968;CENTRE DE DANSE DOMINIQUE GIMET;42400;SAINT CHAMOND;619983124;
C00000002933;Centre de Danse FIGURE IMPOSEE;42600;MONTBRISON;;
C00000002117;Centre de Dévelloppement Culturel;13310;SAINT MARTIN DE CRAU;490470680;
C00000002361;CENTRE DEPARTEMENTAL DE MUSIQUES ET DANSES TRADITIONNELLES;43000;LE PUY EN VELAY ;;
C0282;CENTRE DEUX;42100;SAINT-ETIENNE;477579048;
C0283;CENTRE EVANGELIQUE ;42000;SAINT ETIENNE;680738023;
C00000001549;CENTRE HOSPITALIER EMILE ROUX;43012;LE PUY EN VELAY CEDEX;04 71 04 38 18;
C00000002075;Centre laic de st martin la plaine;42800;SAINT MARTIN LA PLAINE ;;
C00000002258;CENTRE MUSICAL MASSENET;42000;SAINT-ETIENNE;477470193;
C0451;Centre Musical P.Boulez;42600;MONTBRISON;;
C0349;CENTRE REGIONAL  DU TOURISME;;FES MAROC;2125563416755741574;
C0288;CENTRE SOCIA CULTUREL;42100;SAINT-ETIENNE;477956830;
C0287;CENTRE SOCIAL ARMAND LANOUX;42800;RIVE DE GIER ;477751285;
C00000003101;CENTRE SOCIAL CULTUREL DE ST-JULIEN-EN-JAREZ;42400;SAINT-CHAMOND;477291429;
C00000001009;CENTRE SOCIAL DAME BLANCHE JARDIN DES PLANTES;42100;SAINT-ETIENNE;04 77 38 87 23;
C00000001136;Centre social de fonsala;42400;SAINT CHAMOND;;
C00000001234;Centre Social Espace Loisirs;42100;SAINT-ETIENNE;04 77 46 49 41;
C0286;CENTRE SOCIAL HENRI MATIS;42800;RIVE DE GIER;477750755;
C00000001779;Centre social LAVIEU;42400;SAINT CHAMOND;477317544;
C00000002536;CENTRE SOCIAL LE BABET;42000;SAINT ETIENNE;477333392;
C00000001330;CENTRE SOCIAL MONTHIEU MONTPLAISIR;42100;SAINT-ETIENNE;;
C00000003156;CENTRE SOCIAL SOLAURE LA JOMAYERE;42000;SAINT ETIENNE;477571054;
C00000001908;CENTRE SOCIO CULTUREL D 'ANDREZIEUX-BOUTHEON;42160;ANDREZIEUX-BOUTHEON;;
C00000001375;CENTRE SOCIO-CULTUREL L'ARLEQUIN;42100;SAINT-ETIENNE;;
C0120;CENTRE SOLEIL LE SOLEIL LEVANT ;42700;FIRMINY;;
C00000002164;CERE Yves;42490;FRAISSES;;
C0290;CFA BTP LOIRE;42105;ST ETIENNE CEDEX 1;477497800;
C00000002873;CFA DE L ASSURANCE;92817;PUTEAUX CEDEX;;
C00000002597;CFA-ECB;35000;RENNES;;
C00000002581;CFAI LDA;42951;SAINT ETIENNE CEDEX 01;477931749;Florence Alléon (ST ETIENNE) <>04 77 92 89 74 – 06 29 37 57 63 falleon@citedesentreprises.org<><>Catherine DHERBECOURT (VALENCE)<>06 71 00 15 18<>cdherbecourt@citedesentreprises.org
C00000002717;CFAI LDA MABLY;42300;MABLY;;
C00000002734;CFAI LDA VALENCE;26000;VALENCE;;
C00000002039;CFPTS;93177;BAGNOLET CEDEX;;
C00000002731;CGT FAPT LOIRE;;;;
C00000002621;CHAIZE David;42000;SAINT ETIENNE;;
C00000001013;CHAMBRIER Bertrand;43620;SAINT-ROMAIN LACHALM;;
C00000002144;CHANTIER NOMADES;38800;LE PONT DE CLAIX;476625022;
C0185;CHARIVARI;42800;RIVE DE GIER;477758263;
C00000002959;CHARLES Pierre-Louis;42600;MONTBRISON;;
C00000001762;CHARLOTT'LINGERIE;69000;CHAPONOST;;
C0846;CHARLOTTE TRANS EXPRESS;26400;EURE;04 75 40 68 61;
C00000002152;CHARVIEUX ELIANE;42000;SAINT ETIENNE;;
C00000001513;CHATEAU DE BOUTHEON;42160;ANDREZIEUX BOUTHEON;477557800;
C00000001553;CHATEAU DE CHAMPLONG;42300;VILLEREST;;
